gene	type
SLC17A9	im_GMK
SLC5A7	im_GMK
ANKMY2	im_GMK
ZBTB8OS	im_GMK
LOC100289580	im_GMK
LRP11	im_GMK
FAM96A	im_GMK
KTI12	im_GMK
ATP6V1G2	im_GMK
CTDSP2	im_GMK
CCK	im_GMK
OR5P2	im_GMK
AMER1	im_GMK
SATB2	im_GMK
HS3ST3A1	im_GMK
CSDE1	im_GMK
FGFRL1	im_GMK
KIAA1211L	im_GMK
GSR	im_GMK
CEP41	im_GMK
TMEM158	im_GMK
PTPRG	im_GMK
LYPLA1	im_GMK
CISD3	im_GMK
STC1	im_GMK
SLC6A8	im_GMK
CACNG3	im_GMK
PIGA	im_GMK
ADH1A	im_GMK
FOXI2	im_GMK
ABL2	im_GMK
CHST2	im_GMK
CYTIP	im_GMK
GADD45B	im_GMK
GNAT2	im_GMK
RTN1	im_GMK
RGS1	im_GMK
PDGFA	im_GMK
LRSAM1	im_GMK
SH2D3C	im_GMK
PPP1R3F	im_GMK
PPIAL4G	im_GMK
STMN3	im_GMK
BANP	im_GMK
TP53	im_GMK
FAM173A	im_GMK
LOC100130419	im_GMK
OTX2	im_GMK
RUFY1	im_GMK
R3HCC1	im_GMK
CHST6	im_GMK
KIR2DS2	im_GMK
CMTM8	im_GMK
HSD17B12	im_GMK
XAB2	im_GMK
SLA2	im_GMK
ALDH3B1	im_GMK
ALDOC	im_GMK
OR10A4	im_GMK
CDH24	im_GMK
CACNA2D2	im_GMK
ATP6V1E1	im_GMK
ADH4	im_GMK
SET	im_GMK
ANAPC16	im_GMK
ZNF695	im_GMK
C1orf116	im_GMK
ANP32AP1	im_GMK
USP27X	im_GMK
CNIH3	im_GMK
MORC4	im_GMK
MSMO1	im_GMK
OR10G9	im_GMK
MEF2B	im_GMK
LDB2	im_GMK
TFCP2L1	im_GMK
MED16	im_GMK
LOC100130539	im_GMK
LEF1	im_GMK
FOXS1	im_GMK
GOLPH3L	im_GMK
STOML1	im_GMK
NOTO	im_GMK
MBLAC1	im_GMK
MAP3K10	im_GMK
KRTAP29-1	im_GMK
FAM231A	im_GMK
LSR	im_GMK
TIMP4	im_GMK
PWP2	im_GMK
DPH7	im_GMK
IL12RB1	im_GMK
ZNHIT1	im_GMK
MDM2	im_GMK
CCDC88B	im_GMK
C1orf86	im_GMK
PCNX	im_GMK
GAGE2B	im_GMK
CD248	im_GMK
ARFRP1	im_GMK
DRAP1	im_GMK
LOC439951	im_GMK
PPIP5K1	im_GMK
SDCCAG3	im_GMK
CD47	im_GMK
F11R	im_GMK
CDKN2D	im_GMK
RP11-162G10.5	im_GMK
ACTN2	im_GMK
NUP50	im_GMK
HSD3B7	im_GMK
POC1B-GALNT4	im_GMK
PPFIBP1	im_GMK
PZP	im_GMK
CAB39	im_GMK
DHX37	im_GMK
ANO5	im_GMK
RNF138	im_GMK
CRYBB2P1	im_GMK
ZSCAN18	im_GMK
HERC6	im_GMK
PINX1	im_GMK
CCDC104	im_GMK
GEM	im_GMK
DDX58	im_GMK
FKBPL	im_GMK
CCDC78	im_GMK
LOC100131662	im_GMK
PLAA	im_GMK
VASH1	im_GMK
RPUSD2	im_GMK
LOC100127947	im_GMK
LOC100128386	im_GMK
RPS26	im_GMK
HSD3B1	im_GMK
SRD5A3	im_GMK
TNAP	im_GMK
INTS5	im_GMK
CRIP1	im_GMK
NDUFC1	im_GMK
SLC36A4	im_GMK
KRT74	im_GMK
TSSK4	im_GMK
NBPF6	im_GMK
WASF1	im_GMK
SHH	im_GMK
PTGIR	im_GMK
SPTSSB	im_GMK
OCR1	im_GMK
AP3B1	im_GMK
OXR1	im_GMK
NT5C	im_GMK
ADCK5	im_GMK
CYTH4	im_GMK
SSH2	im_GMK
EIF3D	im_GMK
SLAIN1	im_GMK
ISLR2	im_GMK
CCDC97	im_GMK
EXOC6	im_GMK
KLHL20	im_GMK
LOC401312	im_GMK
RPS6KA1	im_GMK
NCBP2	im_GMK
DVL2	im_GMK
IL32	im_GMK
KRTAP5-2	im_GMK
ARCN1	im_GMK
ANKRD27	im_GMK
PCYT1A	im_GMK
CASD1	im_GMK
FBLN7	im_GMK
ASNS	im_GMK
OR8H2	im_GMK
FAM78B	im_GMK
FAM65B	im_GMK
UBE2O	im_GMK
GALC	im_GMK
BRD8	im_GMK
RPUSD4	im_GMK
SAMD13	im_GMK
CLEC17A	im_GMK
